id,year,state,state_po,stage,special,candidate,party_detailed,writein,candidatevotes,totalvotes,unofficial,party_simplified
1,1976,ARIZONA,AZ,gen,FALSE,SAM STEIGER,REPUBLICAN,FALSE,321236,741210,FALSE,REPUBLICAN
2,1976,ARIZONA,AZ,gen,FALSE,WM. MATHEWS FEIGHAN,INDEPENDENT,FALSE,1565,741210,FALSE,OTHER
3,1976,ARIZONA,AZ,gen,FALSE,DENNIS DECONCINI,DEMOCRAT,FALSE,400334,741210,FALSE,DEMOCRAT
4,1976,ARIZONA,AZ,gen,FALSE,ALLAN NORWITZ,LIBERTARIAN,FALSE,7310,741210,FALSE,LIBERTARIAN
5,1976,ARIZONA,AZ,gen,FALSE,BOB FIELD,INDEPENDENT,FALSE,10765,741210,FALSE,OTHER
6,1976,CALIFORNIA,CA,gen,FALSE,JACK MCCOY,AMERICAN INDEPENDENT,FALSE,82739,7470586,FALSE,OTHER
7,1976,CALIFORNIA,CA,gen,FALSE,S. I. (SAM) HAYAKAWA,REPUBLICAN,FALSE,3748973,7470586,FALSE,REPUBLICAN
8,1976,CALIFORNIA,CA,gen,FALSE,JOHN V. TUNNEY,DEMOCRAT,FALSE,3502862,7470586,FALSE,DEMOCRAT
9,1976,CALIFORNIA,CA,gen,FALSE,OMARI MUSA,INDEPENDENT,FALSE,31629,7470586,FALSE,OTHER
10,1976,CALIFORNIA,CA,gen,FALSE,DAVID WALD,PEACE AND FREEDOM,FALSE,104383,7470586,FALSE,OTHER
11,1976,CONNECTICUT,CT,gen,FALSE,"LOWELL P. WEICKER, JR.",REPUBLICAN,FALSE,785683,1361666,FALSE,REPUBLICAN
12,1976,CONNECTICUT,CT,gen,FALSE,SCATTER,,FALSE,558,1361666,FALSE,OTHER
13,1976,CONNECTICUT,CT,gen,FALSE,ROBERT BARNABEI,AMERICAN INDEPENDENT,FALSE,14407,1361666,FALSE,OTHER
14,1976,CONNECTICUT,CT,gen,FALSE,GLORIA SCHAFFER,DEMOCRAT,FALSE,561018,1361666,FALSE,DEMOCRAT
15,1976,DELAWARE,DE,gen,FALSE,THOMAS C. MALONEY,DEMOCRAT,FALSE,98042,224795,FALSE,DEMOCRAT
16,1976,DELAWARE,DE,gen,FALSE,"WILLIAM V. ROTH, JR.",REPUBLICAN,FALSE,125454,224795,FALSE,REPUBLICAN
17,1976,DELAWARE,DE,gen,FALSE,DONALD G. GIES,AMERICAN,FALSE,646,224795,FALSE,OTHER
18,1976,DELAWARE,DE,gen,FALSE,JOHN A. MASSIMILLA,PROHIBITION,FALSE,216,224795,FALSE,OTHER
19,1976,DELAWARE,DE,gen,FALSE,JOSEPH F. MCINERNEY,NONE,FALSE,437,224795,FALSE,OTHER
20,1976,FLORIDA,FL,gen,FALSE,LAWTON CHILES,DEMOCRAT,FALSE,1799518,2857534,FALSE,DEMOCRAT
21,1976,FLORIDA,FL,gen,FALSE,SCATTER,,FALSE,130,2857534,FALSE,OTHER
